X,CH1,CH2,
Second,Volt,Volt,
-2.5199998e-02,-5.60000e-02,-2.20000e-02,
-2.4799997e-02,-4.80000e-02,-3.00000e-02,
-2.4399998e-02,-6.40000e-02,-2.80000e-02,
-2.3999998e-02,-7.20000e-02,-2.60000e-02,
-2.3599997e-02,-4.00000e-02,-5.20000e-02,
-2.3199998e-02,-6.40000e-02,-3.60000e-02,
-2.2799999e-02,-7.20000e-02,-3.20000e-02,
-2.2399997e-02,-6.80000e-02,-4.40000e-02,
-2.1999998e-02,-5.20000e-02,-6.00000e-02,
-2.1599999e-02,-6.00000e-02,-5.80000e-02,
-2.1199998e-02,-8.80000e-02,-4.40000e-02,
-2.0799998e-02,-8.40000e-02,-5.20000e-02,
-2.0399999e-02,-8.80000e-02,-6.40000e-02,
-1.9999998e-02,-8.40000e-02,-7.00000e-02,
-1.9599998e-02,-1.16000e-01,-5.40000e-02,
-1.9199999e-02,-1.08000e-01,-6.60000e-02,
-1.8799998e-02,-1.12000e-01,-7.20000e-02,
-1.8399999e-02,-1.32000e-01,-7.20000e-02,
-1.7999997e-02,-1.28000e-01,-7.80000e-02,
-1.7599998e-02,-1.36000e-01,-8.40000e-02,
-1.7199999e-02,-1.52000e-01,-8.00000e-02,
-1.6799998e-02,-1.48000e-01,-9.00000e-02,
-1.6399998e-02,-1.76000e-01,-8.00000e-02,
-1.5999999e-02,-1.96000e-01,-8.00000e-02,
-1.5599999e-02,-2.20000e-01,-7.40000e-02,
-1.5199998e-02,-2.12000e-01,-8.60000e-02,
-1.4799998e-02,-2.44000e-01,-7.40000e-02,
-1.4399999e-02,-2.52000e-01,-7.60000e-02,
-1.3999999e-02,-2.68000e-01,-7.60000e-02,
-1.3599998e-02,-2.76000e-01,-8.60000e-02,
-1.3199999e-02,-2.84000e-01,-9.40000e-02,
-1.2799999e-02,-3.04000e-01,-8.60000e-02,
-1.2399998e-02,-3.08000e-01,-9.20000e-02,
-1.1999999e-02,-3.08000e-01,-1.02000e-01,
-1.1599999e-02,-3.16000e-01,-1.02000e-01,
-1.1199999e-02,-3.28000e-01,-1.02000e-01,
-1.0799999e-02,-3.44000e-01,-1.02000e-01,
-1.0399999e-02,-3.60000e-01,-9.40000e-02,
-9.9999988e-03,-3.60000e-01,-9.00000e-02,
-9.5999995e-03,-3.60000e-01,-9.20000e-02,
-9.1999993e-03,-3.68000e-01,-9.00000e-02,
-8.7999990e-03,-3.64000e-01,-9.20000e-02,
-8.3999988e-03,-3.44000e-01,-9.80000e-02,
-7.9999994e-03,-3.48000e-01,-8.60000e-02,
-7.5999992e-03,-3.36000e-01,-9.00000e-02,
-7.1999994e-03,-3.20000e-01,-8.60000e-02,
-6.7999992e-03,-2.88000e-01,-1.00000e-01,
-6.3999994e-03,-2.84000e-01,-9.40000e-02,
-5.9999996e-03,-2.60000e-01,-9.20000e-02,
-5.5999993e-03,-2.32000e-01,-1.02000e-01,
-5.1999995e-03,-2.28000e-01,-9.20000e-02,
-4.7999998e-03,-2.28000e-01,-7.60000e-02,
-4.3999995e-03,-2.04000e-01,-8.60000e-02,
-3.9999997e-03,-1.76000e-01,-8.80000e-02,
-3.5999997e-03,-1.72000e-01,-8.40000e-02,
-3.1999997e-03,-1.44000e-01,-9.00000e-02,
-2.7999997e-03,-1.36000e-01,-8.40000e-02,
-2.3999999e-03,-1.12000e-01,-9.40000e-02,
-1.9999999e-03,-1.12000e-01,-8.20000e-02,
-1.5999998e-03,-1.00000e-01,-7.40000e-02,
-1.1999999e-03,-8.40000e-02,-8.00000e-02,
-7.9999992e-04,-8.00000e-02,-7.00000e-02,
-3.9999996e-04,-4.00000e-02,-8.80000e-02,
0.0000000e+00,-6.80000e-02,-6.40000e-02,
3.9999996e-04,-5.20000e-02,-7.00000e-02,
7.9999992e-04,-4.00000e-02,-6.80000e-02,
1.1999999e-03,-4.00000e-02,-5.40000e-02,
1.5999998e-03,-2.40000e-02,-5.60000e-02,
1.9999999e-03,-8.00000e-03,-5.80000e-02,
2.3999999e-03,4.00000e-03,-6.40000e-02,
2.7999997e-03,4.00000e-03,-5.40000e-02,
3.1999997e-03,2.80000e-02,-6.80000e-02,
